Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05
Iceland,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Panama,24.0,54.0,54.0,55.0,55.0,59.0,59.0,59.0,59.0,63.0,66.0,66.0,74.0,79.0,103.0,109.0,116.0,120.0,126.0,136.0,141.0,144.0,146.0,154.0,159.0,165.0,167.0,176.0,178.0,188.0,192.0,197.0,200.0,203.0,210.0,218.0,225.0,231.0,237.0,244.0,249.0,252.0,256.0,260.0,266.0,269.0,275.0,279.0
Dominican Republic,39.0,86.0,86.0,86.0,98.0,98.0,98.0,98.0,98.0,108.0,118.0,118.0,126.0,135.0,189.0,196.0,200.0,217.0,226.0,235.0,245.0,260.0,265.0,267.0,273.0,278.0,282.0,286.0,293.0,301.0,313.0,326.0,333.0,346.0,354.0,362.0,373.0,380.0,385.0,388.0,393.0,402.0,409.0,422.0,424.0,428.0,428.0,434.0
Peru,18.0,83.0,92.0,92.0,92.0,107.0,107.0,107.0,107.0,121.0,138.0,138.0,169.0,181.0,254.0,274.0,300.0,348.0,400.0,445.0,484.0,530.0,572.0,634.0,700.0,728.0,782.0,854.0,943.0,1051.0,1124.0,1200.0,1286.0,1344.0,1444.0,1533.0,1627.0,1714.0,1814.0,1889.0,1961.0,2057.0,2169.0,2267.0,2392.0,2523.0,2648.0,2789.0
Mexico,16.0,94.0,94.0,125.0,125.0,141.0,141.0,141.0,141.0,174.0,194.0,194.0,233.0,273.0,449.0,486.0,546.0,650.0,686.0,712.0,857.0,970.0,1069.0,1221.0,1305.0,1351.0,1434.0,1569.0,1732.0,1859.0,1972.0,2061.0,2154.0,2271.0,2507.0,2704.0,2961.0,3160.0,3353.0,3465.0,3573.0,3926.0,4220.0,4477.0,4767.0,5045.0,5177.0,5332.0
Singapore,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,15.0,16.0,17.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0
Argentina,20.0,48.0,48.0,54.0,56.0,60.0,60.0,60.0,60.0,67.0,79.0,81.0,82.0,89.0,112.0,122.0,129.0,132.0,134.0,142.0,151.0,159.0,166.0,176.0,185.0,192.0,197.0,207.0,214.0,218.0,225.0,237.0,246.0,260.0,264.0,273.0,282.0,293.0,300.0,305.0,314.0,319.0,329.0,353.0,356.0,363.0,373.0,382.0
Serbia,13.0,58.0,58.0,61.0,61.0,61.0,61.0,61.0,61.0,66.0,66.0,71.0,71.0,74.0,99.0,103.0,110.0,117.0,122.0,125.0,130.0,134.0,139.0,144.0,151.0,156.0,162.0,168.0,173.0,179.0,185.0,189.0,193.0,197.0,200.0,203.0,206.0,209.0,213.0,215.0,218.0,220.0,222.0,224.0,225.0,228.0,230.0,231.0
Slovenia,11.0,30.0,30.0,30.0,36.0,36.0,40.0,40.0,40.0,43.0,45.0,45.0,50.0,53.0,61.0,61.0,66.0,70.0,77.0,77.0,79.0,79.0,79.0,81.0,81.0,83.0,86.0,89.0,89.0,91.0,92.0,96.0,97.0,97.0,99.0,99.0,99.0,101.0,101.0,102.0,102.0,102.0,103.0,103.0,103.0,103.0,104.0,104.0
Croatia,6.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,21.0,21.0,21.0,33.0,35.0,36.0,39.0,47.0,47.0,48.0,48.0,50.0,51.0,54.0,55.0,59.0,63.0,67.0,69.0,75.0,77.0,79.0,80.0,83.0,85.0,86.0,86.0,87.0,90.0,91.0,91.0,94.0,94.0,95.0,95.0,95.0,95.0
